model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,total_4bit_macs_per_frame,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
model_ResBaGAN_discriminator,112,27,96,48,941371.0,44563200.0,22359424.0,0.0,44563200.0,22359424.0,,22605.26,256,512,64,128.0,56.0,post_placement,40,123,110.38 Megabytes/sec,110.38 Megabytes/sec,3.00 Megabytes/sec,3.00 Megabytes/sec,0.18,49,128,48,80,0,28,648416,67584,256,1,1,64,False,False,False,False,False,0,0,N/A,hailo8l,,,,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.025396160308659793,0.07531627496512677,,,,0.4375,0.7312988900386039,0.6014408802359262,0.989366253421587,0.6105840899379192,0.9196428571428571,0.2602835517059268,0.1047234602566815,,no runtime data,no runtime data,N/A,0.2425068866747982,0.7191920013006015,,no runtime data,no runtime data,no runtime data,no runtime data,no runtime data,5120.0,139.0,0.0,0.0,0.0,0.0
model_ResBaGAN_discriminator_context_0,0.025396160308659793,0.07531627496512677,,0.75,0.240234375,0.4375,0.7312988900386039,0.6014408802359262,0.989366253421587,0.6105840899379192,0.9196428571428571,0.2602835517059268,0.1047234602566815,,22605.255721955356,4.42375e-05,0.00013818,0.2425068866747982,0.7191920013006015,,single context,,,,,5120.0,139.0,0.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,is_4bit_enhanced,is_smuffer_in,is_smuffer_out
conv8,conv,16,16,16,16,3,3,1,1,conv7,ew_add3,2320.0,593920.0,,31184.22,12827,9216.0,1,1,1,16,2,1,1,1,1,1,False,,False,,92.59112548828125,92.59112548828125,model_ResBaGAN_discriminator/conv8,0,0,1,0.039355,0,16,0.8217042088508606,0.03991580381989479,0.5956484818835823,128,256,model_ResBaGAN_discriminator_context_0,False,6.13e-05,2320.0,1179648.0,1024,8,-3.474419593811035,11.049793243408203,-0.44643399119377136,0.5138821601867676,-1.972851037979126,7.701707363128662,8,8,16,0.8217042088508606,1.0,1.0,0.7248940378638034,1.0,0.5956484818835823,False,True,False
ew_add3,ew_add,16,16,16,16,,,,,conv8 ew_add2,external_pad2,0,2048.0,,211528.29,1891,,1,1,1,16,0,1,0.0,,,,False,,False,,92.59112548828125,0.0,model_ResBaGAN_discriminator/ew_add3,1,0,1,0.034437499999999996,0,16,0.5415124297142029,0.27075621485710144,0.05786945490757602,128,256,model_ResBaGAN_discriminator_context_0,False,6.159e-05,0,4096.0,0,8,-1.972851037979126,7.701707363128662,N/A,N/A,-10.863102912902832,12.812891006469727,8,8,16,0.5415124297142029,1.0,1.0,0.10686634642554395,1.0,0.05786945490757602,False,False,False
external_pad2,external_pad,16,16,16,16,,,,,ew_add3,conv10 conv12 conv9,0,0,,88987.76,4495,,1,1,1,16,0,3,1,,,,False,,False,,92.59112548828125,0.0,model_ResBaGAN_discriminator/external_pad2,0,0,1,0.0349775,0,16,0.1713014394044876,0.19221356511116028,0.04351511557633071,255,384,model_ResBaGAN_discriminator_context_0,False,6.242e-05,0,0,0,8,-10.863102912902832,12.812891006469727,N/A,N/A,-10.863102912902832,12.812891006469727,8,8,8,0.1713014394044876,1.0,1.0,0.25402656117547334,0.0,0.04351511557633071,False,False,False
conv10,conv,18,18,32,16,3,3,2,2,external_pad2,ew_add4,4640.0,296960.0,,65135.97,6141,5832.0,1,1,1,32,4,1,1,1,1,1,False,,False,,117.1856460571289,58.59282302856445,model_ResBaGAN_discriminator/conv10,0,0,1,0.03587,0,32,0.827389657497406,0.041687022894620895,0.2871432544047228,128,256,model_ResBaGAN_discriminator_context_0,False,6.34675e-05,4640.0,589824.0,512,8,-10.863102912902832,12.812891006469727,-0.26745063066482544,0.2579730153083801,-11.010637283325195,13.193780899047852,8,8,16,0.827389657497406,0.75,1.0,0.3470471884713196,1.0,0.21535744080354213,False,False,False
conv12,conv,18,18,128,16,3,3,4,4,external_pad2,ew_add7,18560.0,296960,,75117.37,5325,2304.0,4.0,3.0,3.0,144,8,3.0,,1,1,1,False,,False,combined (SUPER_CONV),286.453800201416,111.39869689941406,,0.0,0.0,3.0,0.0352275,0,144,0.43868544697761536,0.0320500781138738,0.13201469370758984,173.0,2464,model_ResBaGAN_discriminator_context_0,False,6.31375e-05,18560,589824,0,8,-10.863102912902832,12.812891006469727,-0.13621307909488678,0.14252787828445435,-2.3554322719573975,4.969387531280518,8,8,16,0.8773708939552307,0.5,1.0,0.3009324667985307,0.5,0.13201469370758984,False,False,False
conv9,conv,18,18,32,16,3,3,2,2,external_pad2,conv11,4640.0,296960.0,,65135.97,6141,5832.0,1,1,1,32,4,1,1,1,1,1,False,,False,,117.1856460571289,58.59282302856445,model_ResBaGAN_discriminator/conv9,0,0,1,0.03587,0,32,0.827389657497406,0.041687022894620895,0.2871432544047228,128,256,model_ResBaGAN_discriminator_context_0,False,6.34675e-05,4640.0,589824.0,512,8,-10.863102912902832,12.812891006469727,-0.4294668436050415,0.30410653352737427,-4.109492301940918,15.662592887878418,8,8,16,0.827389657497406,0.75,1.0,0.3470471884713196,1.0,0.21535744080354213,False,False,False
conv11,conv,8,8,32,32,3,3,1,1,conv9,ew_add4,9248.0,591872.0,,27841.58,14367,9216.0,1,1,1,32,4,1,1,1,1,1,False,,False,,46.295562744140625,46.295562744140625,model_ResBaGAN_discriminator/conv11,0,0,1,0.0428325,0,32,0.6459246873855591,0.017818612977862358,0.5244419318264102,128,256,model_ResBaGAN_discriminator_context_0,False,7.46975e-05,9248.0,1179648.0,0,8,-4.109492301940918,15.662592887878418,-0.28129515051841736,0.2569686770439148,-1.915093183517456,12.037728309631348,8,8,16,0.6459246873855591,1.0,1.0,0.8119242723933315,1.0,0.5244419318264102,False,False,False
ew_add4,ew_add,8,8,32,32,,,,,conv11 conv10,conv13 ew_add5,0,1024.0,,405268.49,987,,1,1,1,32,0,2,0.0,,,,False,,False,,46.295562744140625,0.0,model_ResBaGAN_discriminator/ew_add4,1,0,1,0.03387,0,32,0.5187436938285828,0.2593718469142914,0.0289347287826398,256,256,model_ResBaGAN_discriminator_context_0,False,7.49975e-05,0,2048.0,0,8,-1.915093183517456,12.037728309631348,N/A,N/A,-11.893800735473633,18.43539047241211,8,8,16,0.5187436938285828,1.0,1.0,0.05577846849392484,1.0,0.0289347287826398,False,False,False
conv13,conv,8,8,32,32,3,3,1,1,ew_add4,conv14,9248.0,591872.0,,31488.62,12703,9216.0,1,1,1,32,2,1,1,1,1,1,False,,False,,46.295562744140625,46.295562744140625,model_ResBaGAN_discriminator/conv13,0,0,1,0.03989,0,32,0.914114773273468,0.02015271969139576,0.6562305716243495,128,256,model_ResBaGAN_discriminator_context_0,False,8.13175e-05,9248.0,1179648.0,1024,8,-11.893800735473633,18.43539047241211,-0.4148276150226593,0.2989380955696106,-4.109753131866455,16.849987030029297,8,8,16,0.914114773273468,1.0,1.0,0.7178864085899972,1.0,0.6562305716243495,False,False,True
conv14,conv,8,8,32,32,3,3,1,1,conv13,ew_add5,9248.0,591872.0,,31262.21,12795,9216.0,1,1,1,32,2,1,1,1,1,1,False,,False,,46.295562744140625,46.295562744140625,model_ResBaGAN_discriminator/conv14,0,0,1,0.037655,0,32,0.9075419902801514,0.020007815212011337,0.6562305603636359,128,256,model_ResBaGAN_discriminator_context_0,False,8.77875e-05,9248.0,1179648.0,1024,8,-4.109753131866455,16.849987030029297,-0.2896752655506134,0.2406868189573288,-1.7288964986801147,6.435337066650391,8,8,16,0.9075419902801514,1.0,1.0,0.7230856174060469,1.0,0.6562305603636359,False,True,False
